거래년도,품목분류,품목명,판매금액,수량,할인율,수익금액,거래월
2021,Fashion,Casula Shoes,146400,5,0.02,35760,1월
2021,Fashion,Sneakers,74400,4,0.05,18600,1월
2021,Fashion,Sneakers,74400,5,0.03,14880,1월
2021,Fashion,Shirts,235200,5,0.05,80400,1월
2021,Home & Furniture,Curtains,40800,4,0.05,10200,1월
2021,Fashion,Running Shoes,268800,2,0.05,145920,1월
2021,Fashion,T - Shirts,297600,4,0.01,189720,1월
2021,Auto & Accessories,Car Seat Covers,136800,2,0.01,38040,1월
2021,Fashion,Formal Shoes,255600,1,0.03,151920,1월
2021,Auto & Accessories,Bike Tyres,86400,1,0.04,86400,1월
2021,Fashion,Sports Wear,102000,5,0.03,20400,1월
2021,Fashion,Suits,130800,4,0.02,24360,1월
2021,Fashion,Shirts,235200,1,0.05,127440,1월
2021,Home & Furniture,Towels,273600,4,0.04,133800,1월
2021,Fashion,Shirts,235200,1,0.03,132120,1월
2021,Auto & Accessories,Car Mat,64800,4,0.01,16200,1월
2021,Auto & Accessories,Car Speakers,253200,5,0.04,106560,1월
2021,Fashion,Shirts,235200,5,0.01,127440,1월
2021,Fashion,Shirts,235200,3,0.04,111000,1월
2021,Fashion,Sneakers,74400,5,0.05,14880,1월
2021,Auto & Accessories,Car Body Covers,140400,3,0.02,36000,1월
2021,Fashion,Suits,130800,1,0.03,30840,1월
2021,Fashion,Sneakers,74400,3,0.03,24840,1월
2021,Fashion,Suits,130800,2,0.04,24360,1월
2021,Fashion,Shirts,235200,3,0.03,118080,1월
2021,Fashion,Shirts,235200,2,0.05,115680,1월
2021,Auto & Accessories,Car Mat,64800,1,0.01,64800,1월
2021,Home & Furniture,Towels,273600,4,0.05,122880,1월
2021,Fashion,Shirts,235200,1,0.05,127440,1월
2021,Home & Furniture,Shoe Rack,148800,3,0.01,48360,1월
2021,Fashion,Titak watch,273600,2,0.03,161160,1월
2021,Fashion,Sneakers,74400,2,0.02,37200,1월
2021,Home & Furniture,Beds,93600,5,0.05,18720,1월
2021,Fashion,Formal Shoes,255600,5,0.04,108480,1월
2021,Auto & Accessories,Bike Tyres,86400,3,0.04,28800,1월
2021,Fashion,Sports Wear,102000,1,0.04,1920,1월
2021,Auto & Accessories,Car Seat Covers,136800,1,0.01,39480,1월
2021,Fashion,Titak watch,273600,3,0.02,161160,1월
2021,Fashion,Sneakers,74400,5,0.04,14880,1월
2021,Home & Furniture,Curtains,40800,2,0.04,20400,1월
2021,Auto & Accessories,Car & Bike Care,141600,2,0.05,31440,1월
2021,Fashion,Suits,130800,1,0.03,30840,1월
2021,Fashion,Casula Shoes,146400,3,0.02,41640,1월
2021,Auto & Accessories,Car Media Players,168000,3,0.04,51840,1월
2021,Auto & Accessories,Car Media Players,168000,2,0.02,65280,1월
2021,Home & Furniture,Beds,93600,3,0.01,31200,1월
2021,Fashion,Shirts,235200,1,0.03,132120,1월
2021,Auto & Accessories,Car Pillow & Neck Rest,277200,3,0.05,139680,1월
2021,Home & Furniture,Bed Sheets,253200,5,0.03,119280,1월
2021,Auto & Accessories,Car Mat,64800,5,0.04,12960,1월
2021,Fashion,Fossil Watch,190800,3,0.03,77640,1월
2021,Fashion,Running Shoes,268800,2,0.03,156720,1월
2021,Fashion,Formal Shoes,255600,1,0.05,146880,1월
2021,Fashion,Jeans,261600,1,0.05,152520,1월
2021,Auto & Accessories,Car Speakers,253200,3,0.05,119280,1월
2021,Auto & Accessories,Car Body Covers,140400,2,0.02,38760,1월
2021,Home & Furniture,Sofas,80400,2,0.05,40200,1월
2021,Home & Furniture,Curtains,40800,1,0.05,40800,1월
2021,Auto & Accessories,Car Pillow & Neck Rest,277200,1,0.02,175680,1월
2021,Fashion,Titak watch,273600,2,0.05,150240,1월
2021,Auto & Accessories,Car Seat Covers,136800,5,0.01,33960,1월
2021,Fashion,Running Shoes,268800,4,0.05,119040,1월
2021,Fashion,Sneakers,74400,4,0.04,18600,1월
2021,Fashion,Casula Shoes,146400,3,0.04,32880,1월
2021,Fashion,Sneakers,74400,5,0.04,14880,1월
2021,Fashion,Casula Shoes,146400,2,0.03,41640,1월
2021,Auto & Accessories,Car Seat Covers,136800,3,0.03,28440,1월
2021,Auto & Accessories,Car & Bike Care,141600,1,0.03,41400,1월
2021,Fashion,Sports Wear,102000,1,0.02,3960,1월
2021,Fashion,Sneakers,74400,5,0.01,14880,1월
2021,Fashion,Formal Shoes,255600,4,0.03,128880,1월
2021,Fashion,Fossil Watch,190800,3,0.01,89040,1월
2021,Electronic,Tablet,238800,3,0.01,135600,1월
2021,Fashion,Sneakers,74400,3,0.05,24840,1월
2021,Electronic,Tablet,238800,1,0.02,138000,1월
2021,Fashion,Jeans,261600,1,0.01,162960,1월
2021,Fashion,Running Shoes,268800,2,0.02,162000,1월
2021,Electronic,Iron,266400,1,0.04,159720,1월
2021,Home & Furniture,Towels,273600,5,0.01,163920,1월
2021,Fashion,Shirts,235200,2,0.03,125040,1월
2021,Home & Furniture,Beds,93600,1,0.05,93600,1월
2021,Fashion,Suits,130800,1,0.04,29520,1월
2021,Electronic,Iron,266400,2,0.04,149040,1월
2021,Electronic,Samsung Mobile,264000,5,0.02,141600,1월
2021,Fashion,Titak watch,273600,2,0.04,155760,1월
2021,Electronic,Apple Laptop,300000,3,0.03,177000,1월
2021,Electronic,Keyboard,39600,2,0.03,19800,1월
2021,Fashion,Formal Shoes,255600,1,0.02,154440,1월
2021,Fashion,Shirts,235200,1,0.04,129840,1월
2021,Electronic,LED,230400,4,0.01,125160,1월
2021,Fashion,Jeans,261600,2,0.02,155160,1월
2021,Electronic,Tablet,238800,2,0.04,123720,1월
2021,Fashion,Casula Shoes,146400,4,0.01,44520,1월
2021,Fashion,Casula Shoes,146400,1,0.03,45960,1월
2021,Fashion,Jeans,261600,3,0.05,126360,1월
2021,Fashion,Shirts,235200,3,0.05,103920,1월
2021,Electronic,Tablet,238800,1,0.03,135600,1월
2021,Fashion,Sports Wear,102000,3,0.03,33960,1월
2021,Electronic,Mouse,133200,2,0.04,26520,1월
2021,Fashion,T - Shirts,297600,5,0.02,171840,1월
2021,Fashion,Running Shoes,268800,2,0.05,145920,1월
2021,Fashion,T - Shirts,297600,3,0.04,165840,1월
2021,Fashion,Suits,130800,5,0.02,21720,1월
2021,Fashion,Fossil Watch,190800,4,0.04,64320,1월
2021,Fashion,Casula Shoes,146400,4,0.02,38640,1월
2021,Fashion,Running Shoes,268800,5,0.04,119040,1월
2021,Electronic,Mouse,133200,5,0.02,23880,1월
2021,Electronic,Keyboard,39600,4,0.04,9960,1월
2021,Fashion,Sneakers,74400,4,0.05,18600,1월
2021,Fashion,Jeans,261600,4,0.01,155160,1월
2021,Fashion,Titak watch,273600,1,0.01,174840,1월
2021,Fashion,Shirts,235200,3,0.02,125040,1월
2021,Fashion,T - Shirts,297600,2,0.01,195600,1월
2021,Fashion,Formal Shoes,255600,3,0.03,136560,1월
2021,Electronic,Samsung Mobile,264000,4,0.01,157440,1월
2021,Fashion,Sports Wear,102000,4,0.01,1920,1월
2021,Electronic,LCD,78000,1,0.05,78000,1월
2021,Fashion,Casula Shoes,146400,2,0.02,44520,1월
2021,Fashion,Titak watch,273600,3,0.01,169440,1월
2021,Fashion,Sneakers,74400,3,0.02,24840,1월
2021,Fashion,Casula Shoes,146400,4,0.02,38640,1월
2021,Fashion,Suits,130800,2,0.05,21720,1월
2021,Electronic,Mixer/Juicer,99600,5,0.05,19920,1월
2021,Fashion,Shirts,235200,1,0.02,134520,1월
2021,Fashion,Sports Wear,102000,2,0.04,51000,1월
2021,Fashion,T - Shirts,297600,1,0.03,192720,1월
2021,Fashion,Sports Wear,102000,5,0.05,20400,1월
2021,Fashion,Fossil Watch,190800,1,0.04,87120,1월
2021,Fashion,Suits,130800,5,0.02,21720,1월
2021,Home & Furniture,Dinner Crockery,159600,1,0.01,62040,1월
2021,Fashion,Suits,130800,5,0.02,21720,1월
2021,Home & Furniture,Curtains,40800,4,0.01,10200,1월
2021,Electronic,Keyboard,39600,4,0.04,9960,1월
2021,Electronic,Tablet,238800,4,0.05,95040,1월
2021,Home & Furniture,Sofas,80400,2,0.01,40200,1월
2021,Fashion,Running Shoes,268800,1,0.03,164760,1월
2021,Fashion,Shirts,235200,2,0.03,125040,1월
2021,Electronic,Samsung Mobile,264000,2,0.04,146880,1월
2021,Fashion,Suits,130800,4,0.05,8640,1월
2021,Fashion,Sneakers,74400,2,0.04,37200,1월
2021,Fashion,Running Shoes,268800,5,0.01,159360,1월
2021,Electronic,Iron,266400,5,0.01,157080,1월
2021,Electronic,LED,230400,4,0.05,88320,1월
2021,Fashion,Shirts,235200,3,0.01,132120,1월
2021,Fashion,Fossil Watch,190800,5,0.01,85320,1월
2021,Home & Furniture,Sofas,80400,2,0.05,40200,1월
2021,Fashion,Titak watch,273600,2,0.04,155760,1월
2021,Fashion,Formal Shoes,255600,1,0.02,154440,1월
2021,Fashion,Sneakers,74400,2,0.03,37200,1월
2021,Fashion,Sports Wear,102000,3,0.05,33960,1월
2021,Fashion,Sports Wear,102000,2,0.01,3960,1월
2021,Fashion,Formal Shoes,255600,3,0.03,136560,1월
2021,Fashion,Sneakers,74400,2,0.04,37200,1월
2021,Fashion,Fossil Watch,190800,1,0.04,87120,1월
2021,Fashion,Formal Shoes,255600,2,0.01,154440,1월
2021,Fashion,T - Shirts,297600,5,0.05,127200,1월
2021,Electronic,Watch,124800,1,0.03,25080,1월
2021,Fashion,Suits,130800,5,0.03,15240,1월
2021,Fashion,Sneakers,74400,4,0.02,18600,1월
2021,Fashion,Casula Shoes,146400,1,0.05,43080,1월
2021,Fashion,Titak watch,273600,2,0.01,172080,1월
2021,Fashion,T - Shirts,297600,2,0.04,177840,1월
2021,Fashion,Fossil Watch,190800,5,0.03,66240,1월
2021,Fashion,Titak watch,273600,4,0.04,133800,1월
2021,Electronic,LED,230400,5,0.05,76800,1월
2021,Fashion,Shirts,235200,4,0.02,120360,1월
2021,Fashion,Titak watch,273600,4,0.05,122880,1월
2021,Fashion,Formal Shoes,255600,5,0.01,146880,1월
2021,Fashion,Sneakers,74400,4,0.04,18600,1월
2021,Fashion,Shirts,235200,2,0.03,125040,1월
2021,Electronic,Speakers,156000,5,0.04,28800,1월
2021,Fashion,T - Shirts,297600,3,0.03,174840,1월
2021,Electronic,Keyboard,39600,4,0.01,9960,1월
2021,Fashion,Titak watch,273600,3,0.01,169440,1월
2021,Electronic,Tablet,238800,4,0.01,133200,1월
2021,Electronic,Samsung Mobile,264000,5,0.03,128400,1월
2021,Home & Furniture,Dinning Tables,142800,3,0.04,29640,1월
2021,Fashion,Fossil Watch,190800,4,0.04,64320,1월
2021,Auto & Accessories,Car Body Covers,140400,4,0.01,38760,1월
2021,Fashion,Sports Wear,102000,1,0.03,3000,1월
2021,Auto & Accessories,Car Media Players,168000,1,0.03,66960,1월
2021,Fashion,Formal Shoes,255600,1,0.03,151920,1월
2021,Fashion,Sneakers,74400,5,0.05,14880,1월
2021,Fashion,Sneakers,74400,5,0.01,14880,1월
2021,Home & Furniture,Umbrellas,84000,4,0.04,21000,1월
2021,Fashion,Running Shoes,268800,2,0.03,156720,1월
2021,Auto & Accessories,Car & Bike Care,141600,5,0.03,24360,1월
2021,Fashion,T - Shirts,297600,2,0.04,177840,1월
2021,Fashion,Fossil Watch,190800,1,0.03,89040,1월
2021,Fashion,Suits,130800,2,0.04,24360,1월
2021,Fashion,Sports Wear,102000,4,0.04,25560,1월
2021,Auto & Accessories,Car & Bike Care,141600,3,0.02,37080,1월
2021,Home & Furniture,Beds,93600,2,0.04,46800,1월
2021,Fashion,Fossil Watch,190800,2,0.04,79560,1월
2021,Fashion,Titak watch,273600,2,0.04,155760,1월
2021,Auto & Accessories,Car Mat,64800,3,0.04,21600,1월
2021,Auto & Accessories,Car Seat Covers,136800,2,0.05,27120,1월
2021,Fashion,Jeans,261600,5,0.03,126360,1월
2021,Fashion,Sneakers,74400,5,0.05,14880,1월
2021,Auto & Accessories,Tyre,300000,5,0.02,174000,1월
2021,Home & Furniture,Sofa Covers,259200,1,0.04,152880,1월
2021,Home & Furniture,Umbrellas,84000,4,0.05,21000,1월
2021,Fashion,Running Shoes,268800,5,0.05,105600,1월
2021,Fashion,Sports Wear,102000,3,0.05,33960,1월
2021,Home & Furniture,Dinner Crockery,159600,3,0.03,49200,1월
2021,Fashion,Shirts,235200,1,0.02,134520,1월
2021,Fashion,Formal Shoes,255600,4,0.05,108480,1월
2021,Fashion,Running Shoes,268800,1,0.04,162000,1월
2021,Fashion,Jeans,261600,4,0.01,155160,1월
2021,Fashion,Jeans,261600,1,0.02,160320,1월
2021,Fashion,T - Shirts,297600,1,0.02,195600,1월
2021,Fashion,Sports Wear,102000,2,0.04,51000,1월
2021,Auto & Accessories,Car Pillow & Neck Rest,277200,3,0.05,139680,1월
2021,Home & Furniture,Dinning Tables,142800,2,0.02,41040,1월
2021,Fashion,Suits,130800,4,0.05,8640,1월
2021,Fashion,Suits,130800,3,0.04,19080,1월
2021,Fashion,Running Shoes,268800,5,0.03,132480,1월
2021,Fashion,Shirts,235200,2,0.02,129840,1월
2021,Fashion,Sports Wear,102000,4,0.05,25560,1월
2021,Fashion,Fossil Watch,190800,2,0.01,90960,1월
2021,Fashion,Sneakers,74400,3,0.01,24840,1월
2021,Home & Furniture,Beds,93600,1,0.03,93600,1월
2021,Fashion,Jeans,261600,2,0.05,139440,1월
2021,Electronic,Mixer/Juicer,99600,3,0.05,33240,1월
2021,Fashion,Fossil Watch,190800,5,0.03,66240,1월
2021,Home & Furniture,Sofa Covers,259200,2,0.02,152880,1월
2021,Electronic,Samsung Mobile,264000,5,0.02,141600,1월
2021,Electronic,Samsung Mobile,264000,1,0.02,162720,1월
2021,Home & Furniture,Sofa Covers,259200,5,0.03,124320,1월
2021,Electronic,Tablet,238800,4,0.02,123720,1월
2021,Home & Furniture,Dinner Crockery,159600,4,0.05,31680,1월
2021,Fashion,Fossil Watch,190800,5,0.02,75720,1월
2021,Fashion,Sneakers,74400,5,0.05,14880,1월
2021,Fashion,Running Shoes,268800,2,0.05,145920,1월
2021,Electronic,Watch,124800,3,0.05,10080,1월
2021,Electronic,Speakers,156000,1,0.01,58440,1월
2021,Fashion,Sneakers,74400,5,0.01,14880,1월
2021,Fashion,Titak watch,273600,5,0.04,122880,1월
2021,Fashion,Jeans,261600,2,0.04,144720,1월
2021,Fashion,Fossil Watch,190800,1,0.04,87120,1월
2021,Electronic,Mixer/Juicer,99600,5,0.01,19920,1월
2021,Home & Furniture,Umbrellas,84000,3,0.04,27960,1월
2021,Fashion,Sports Wear,102000,3,0.05,33960,1월
2021,Fashion,T - Shirts,297600,3,0.02,183720,1월
2021,Fashion,Suits,130800,1,0.02,32160,1월
2021,Fashion,Sneakers,74400,4,0.03,18600,1월
2021,Auto & Accessories,Car Media Players,168000,1,0.03,66960,1월
2021,Auto & Accessories,Tyre,300000,2,0.05,174000,1월
2021,Fashion,Sneakers,74400,2,0.01,37200,1월
2021,Auto & Accessories,Tyre,300000,1,0.03,195000,1월
2021,Electronic,Fans,178800,3,0.01,77400,1월
2021,Home & Furniture,Bed Sheets,253200,3,0.03,134400,1월
2021,Fashion,Titak watch,273600,2,0.01,172080,1월
2021,Fashion,T - Shirts,297600,5,0.01,186720,1월
2021,Fashion,Formal Shoes,255600,5,0.05,95760,1월
2021,Fashion,Jeans,261600,2,0.02,155160,1월
2021,Fashion,Shirts,235200,4,0.02,120360,1월
2021,Home & Furniture,Shoe Rack,148800,2,0.03,43920,1월
2021,Fashion,Suits,130800,1,0.03,30840,1월
2021,Fashion,Shirts,235200,2,0.01,134520,1월
2021,Fashion,Fossil Watch,190800,4,0.02,79560,1월
2021,Fashion,Jeans,261600,1,0.02,160320,1월
2021,Auto & Accessories,Tyre,300000,3,0.05,159000,1월
2021,Fashion,Jeans,261600,1,0.02,160320,1월
2021,Fashion,Casula Shoes,146400,5,0.03,28440,1월
2021,Fashion,Formal Shoes,255600,2,0.01,154440,1월
2021,Home & Furniture,Sofas,80400,3,0.01,26760,1월
2021,Fashion,Casula Shoes,146400,1,0.03,45960,1월
2021,Auto & Accessories,Tyre,300000,1,0.04,192000,1월
2021,Fashion,Running Shoes,268800,5,0.04,119040,1월
2021,Fashion,Sports Wear,102000,4,0.04,25560,1월
2021,Fashion,T - Shirts,297600,1,0.05,186720,1월
2021,Fashion,Sports Wear,102000,3,0.04,33960,1월
2021,Auto & Accessories,Car Speakers,253200,4,0.02,136920,1월
2021,Home & Furniture,Shoe Rack,148800,1,0.04,46800,1월
2021,Auto & Accessories,Car Pillow & Neck Rest,277200,1,0.02,175680,1월
2021,Home & Furniture,Dinner Crockery,159600,3,0.01,58800,1월
2021,Auto & Accessories,Car Pillow & Neck Rest,277200,5,0.01,167400,1월
2021,Fashion,Titak watch,273600,1,0.05,163920,1월
2021,Fashion,Titak watch,273600,1,0.05,163920,1월
2021,Fashion,Titak watch,273600,2,0.03,161160,1월
2021,Fashion,Casula Shoes,146400,2,0.02,44520,1월
2021,Fashion,Running Shoes,268800,2,0.03,156720,1월
2021,Fashion,Sneakers,74400,4,0.05,18600,1월
2021,Auto & Accessories,Bike Tyres,86400,1,0.03,86400,1월
2021,Fashion,Titak watch,273600,3,0.05,136560,1월
2021,Home & Furniture,Sofa Covers,259200,5,0.01,150240,1월
2021,Fashion,Sports Wear,102000,1,0.04,1920,1월
2021,Fashion,T - Shirts,297600,4,0.02,177840,1월
2021,Auto & Accessories,Car Media Players,168000,5,0.04,38400,1월
2021,Fashion,T - Shirts,297600,5,0.01,186720,1월
2021,Fashion,Formal Shoes,255600,5,0.04,108480,1월
2021,Auto & Accessories,Car Pillow & Neck Rest,277200,2,0.02,170160,1월
2021,Auto & Accessories,Bike Tyres,86400,5,0.02,17280,1월
2021,Fashion,Sneakers,74400,2,0.04,37200,1월
2021,Fashion,Formal Shoes,255600,1,0.04,149400,1월
2021,Fashion,Sports Wear,102000,5,0.04,20400,1월
2021,Fashion,T - Shirts,297600,2,0.01,195600,1월
2021,Auto & Accessories,Car Body Covers,140400,1,0.02,41640,1월
2021,Home & Furniture,Beds,93600,2,0.04,46800,1월
2021,Fashion,Suits,130800,2,0.04,24360,1월
2021,Auto & Accessories,Car Pillow & Neck Rest,277200,2,0.04,159000,1월
2021,Home & Furniture,Towels,273600,5,0.02,150240,1월
2021,Fashion,Sports Wear,102000,2,0.04,51000,1월
2021,Auto & Accessories,Car Body Covers,140400,4,0.03,27600,1월
2021,Fashion,Shirts,235200,5,0.04,92160,1월
2021,Fashion,Formal Shoes,255600,2,0.04,139200,1월
2021,Auto & Accessories,Car & Bike Care,141600,3,0.02,37080,1월
2021,Home & Furniture,Curtains,40800,5,0.01,8160,1월
2021,Fashion,Running Shoes,268800,3,0.05,132480,1월
2021,Fashion,Suits,130800,3,0.05,15240,1월
2021,Fashion,Fossil Watch,190800,3,0.03,77640,1월
2021,Fashion,Sneakers,74400,1,0.05,74400,1월
2021,Auto & Accessories,Car Media Players,168000,3,0.01,66960,1월
2021,Home & Furniture,Shoe Rack,148800,1,0.05,45360,1월
2021,Fashion,Sports Wear,102000,4,0.02,25560,1월
2021,Fashion,Running Shoes,268800,2,0.03,156720,1월
2021,Auto & Accessories,Car & Bike Care,141600,1,0.03,41400,1월
2021,Fashion,Titak watch,273600,3,0.01,169440,1월
2021,Fashion,Shirts,235200,2,0.04,120360,1월
2021,Fashion,Running Shoes,268800,2,0.03,156720,1월
2021,Fashion,Sneakers,74400,1,0.03,74400,1월
2021,Home & Furniture,Dinner Crockery,159600,1,0.02,60360,1월
2021,Fashion,Shirts,235200,3,0.04,111000,1월
2021,Fashion,Fossil Watch,190800,2,0.04,79560,1월
2021,Fashion,Shirts,235200,5,0.02,115680,1월
2021,Auto & Accessories,Car Media Players,168000,4,0.03,51840,1월
2021,Auto & Accessories,Car Seat Covers,136800,2,0.03,32640,1월
2021,Auto & Accessories,Bike Tyres,86400,1,0.04,86400,1월
2021,Fashion,Suits,130800,5,0.01,28320,1월
2021,Fashion,Sports Wear,102000,1,0.05,960,1월
2021,Fashion,Fossil Watch,190800,4,0.04,64320,1월
2021,Fashion,Sneakers,74400,5,0.01,14880,1월
2021,Auto & Accessories,Car & Bike Care,141600,3,0.05,24360,1월
2021,Fashion,Sneakers,74400,4,0.02,18600,1월
2021,Fashion,Titak watch,273600,2,0.02,166680,1월
2021,Fashion,Casula Shoes,146400,2,0.04,38640,1월
2021,Home & Furniture,Dinning Tables,142800,2,0.05,32520,1월
2021,Fashion,Suits,130800,4,0.01,29520,1월
2021,Fashion,Sneakers,74400,4,0.03,18600,1월
2021,Fashion,Titak watch,273600,5,0.05,109200,1월
2021,Auto & Accessories,Car Media Players,168000,3,0.05,46800,1월
2021,Fashion,Suits,130800,4,0.01,29520,1월
2021,Fashion,Titak watch,273600,4,0.05,122880,1월
2021,Auto & Accessories,Car & Bike Care,141600,4,0.05,17280,1월
2021,Fashion,Jeans,261600,2,0.04,144720,1월
2021,Fashion,Fossil Watch,190800,4,0.04,64320,1월
2021,Auto & Accessories,Car Speakers,253200,4,0.04,116640,1월
2021,Fashion,Shirts,235200,5,0.05,80400,1월
2021,Fashion,Running Shoes,268800,1,0.04,162000,1월
2021,Fashion,Titak watch,273600,2,0.03,161160,1월
2021,Auto & Accessories,Car Speakers,253200,4,0.01,147120,1월
2021,Fashion,Running Shoes,268800,4,0.03,140520,1월
2021,Fashion,Jeans,261600,5,0.05,100200,1월
2021,Auto & Accessories,Car & Bike Care,141600,4,0.03,28560,1월
2021,Fashion,Formal Shoes,255600,2,0.04,139200,1월
2021,Auto & Accessories,Bike Tyres,86400,2,0.02,43200,1월
2021,Fashion,Sports Wear,102000,2,0.03,51000,1월
2021,Fashion,Formal Shoes,255600,2,0.03,144240,1월
2021,Auto & Accessories,Car Media Players,168000,3,0.04,51840,1월
2021,Fashion,Running Shoes,268800,2,0.04,151320,1월
2021,Fashion,Casula Shoes,146400,2,0.02,44520,1월
2021,Fashion,Running Shoes,268800,1,0.01,170160,1월
2021,Auto & Accessories,Car Mat,64800,4,0.05,16200,1월
2021,Home & Furniture,Umbrellas,84000,1,0.01,84000,1월
2021,Fashion,Sneakers,74400,5,0.05,14880,1월
2021,Fashion,Fossil Watch,190800,4,0.02,79560,1월
2021,Fashion,Casula Shoes,146400,1,0.03,45960,1월
2021,Auto & Accessories,Car Body Covers,140400,5,0.05,9360,1월
2021,Fashion,Sneakers,74400,5,0.03,14880,1월
2021,Fashion,T - Shirts,297600,4,0.01,189720,1월
2021,Fashion,Shirts,235200,4,0.04,101520,1월
2021,Home & Furniture,Dinner Crockery,159600,4,0.02,50880,1월
2021,Auto & Accessories,Car Pillow & Neck Rest,277200,4,0.05,125760,1월
2021,Home & Furniture,Shoe Rack,148800,4,0.04,29040,1월
2021,Fashion,T - Shirts,297600,1,0.03,192720,1월
2021,Fashion,Formal Shoes,255600,2,0.02,149400,1월
2021,Fashion,Running Shoes,268800,4,0.03,140520,1월
2021,Fashion,Shirts,235200,3,0.02,125040,1월
2021,Fashion,Titak watch,273600,5,0.04,122880,1월
2021,Fashion,Fossil Watch,190800,4,0.01,87120,1월
2021,Fashion,Formal Shoes,255600,4,0.04,118680,1월
