거래년도,품목분류,품목명,거래월,판매금액,수량,할인율,수익금액
2021,Electronic,Keyboard,1월,39600,4,0.04,9960
2021,Fashion,Sneakers,1월,74400,4,0.05,18600
2021,Fashion,Jeans,1월,261600,4,0.01,155160
2021,Fashion,Titak watch,1월,273600,1,0.01,174840
2021,Fashion,Shirts,1월,235200,3,0.02,125040
2021,Fashion,T - Shirts,1월,297600,2,0.01,195600
2021,Fashion,Formal Shoes,1월,255600,3,0.03,136560
2021,Electronic,Samsung Mobile,1월,264000,4,0.01,157440
2021,Fashion,Sports Wear,1월,102000,4,0.01,1920
2021,Electronic,LCD,1월,78000,1,0.05,78000
2021,Fashion,Casula Shoes,1월,146400,2,0.02,44520
2021,Fashion,Titak watch,1월,273600,3,0.01,169440
2021,Fashion,Sneakers,1월,74400,3,0.02,24840
2021,Fashion,Casula Shoes,1월,146400,4,0.02,38640
2021,Fashion,Suits,1월,130800,2,0.05,21720
2021,Electronic,Mixer/Juicer,1월,99600,5,0.05,19920
2021,Fashion,Shirts,1월,235200,1,0.02,134520
2021,Fashion,Sports Wear,1월,102000,2,0.04,51000
2021,Fashion,T - Shirts,1월,297600,1,0.03,192720
2021,Fashion,Sports Wear,1월,102000,5,0.05,20400
2021,Fashion,Fossil Watch,1월,190800,1,0.04,87120
2021,Fashion,Suits,1월,130800,5,0.02,21720
2021,Home & Furniture,Dinner Crockery,1월,159600,1,0.01,62040
2021,Fashion,Suits,1월,130800,5,0.02,21720
2021,Home & Furniture,Curtains,1월,40800,4,0.01,10200
2021,Electronic,Keyboard,1월,39600,4,0.04,9960
2021,Electronic,Tablet,1월,238800,4,0.05,95040
2021,Home & Furniture,Sofas,1월,80400,2,0.01,40200
2021,Fashion,Running Shoes,1월,268800,1,0.03,164760
2021,Fashion,Shirts,1월,235200,2,0.03,125040
2021,Electronic,Samsung Mobile,1월,264000,2,0.04,146880
2021,Fashion,Suits,1월,130800,4,0.05,8640
2021,Fashion,Sneakers,1월,74400,2,0.04,37200
2021,Fashion,Running Shoes,1월,268800,5,0.01,159360
2021,Electronic,Iron,1월,266400,5,0.01,157080
2021,Electronic,LED,1월,230400,4,0.05,88320
2021,Fashion,Shirts,1월,235200,3,0.01,132120
2021,Fashion,Fossil Watch,1월,190800,5,0.01,85320
2021,Home & Furniture,Sofas,1월,80400,2,0.05,40200
2021,Fashion,Titak watch,1월,273600,2,0.04,155760
2021,Fashion,Formal Shoes,1월,255600,1,0.02,154440
2021,Fashion,Sneakers,1월,74400,2,0.03,37200
2021,Fashion,Sports Wear,1월,102000,3,0.05,33960
2021,Fashion,Sports Wear,1월,102000,2,0.01,3960
2021,Fashion,Formal Shoes,1월,255600,3,0.03,136560
2021,Fashion,Sneakers,1월,74400,2,0.04,37200
2021,Fashion,Fossil Watch,1월,190800,1,0.04,87120
2021,Fashion,Formal Shoes,1월,255600,2,0.01,154440
2021,Fashion,T - Shirts,1월,297600,5,0.05,127200
2021,Electronic,Watch,1월,124800,1,0.03,25080
2021,Fashion,Suits,1월,130800,5,0.03,15240
2021,Fashion,Sneakers,1월,74400,4,0.02,18600
2021,Fashion,Casula Shoes,1월,146400,1,0.05,43080
2021,Fashion,Titak watch,1월,273600,2,0.01,172080
2021,Fashion,T - Shirts,1월,297600,2,0.04,177840
2021,Fashion,Fossil Watch,1월,190800,5,0.03,66240
2021,Fashion,Titak watch,1월,273600,4,0.04,133800
2021,Electronic,LED,1월,230400,5,0.05,76800
2021,Fashion,Shirts,1월,235200,4,0.02,120360
2021,Fashion,Titak watch,1월,273600,4,0.05,122880
2021,Fashion,Formal Shoes,1월,255600,5,0.01,146880
2021,Fashion,Sneakers,1월,74400,4,0.04,18600
2021,Fashion,Shirts,1월,235200,2,0.03,125040
2021,Electronic,Speakers,1월,156000,5,0.04,28800
2021,Fashion,T - Shirts,1월,297600,3,0.03,174840
2021,Electronic,Keyboard,1월,39600,4,0.01,9960
2021,Fashion,Titak watch,1월,273600,3,0.01,169440
2021,Electronic,Tablet,1월,238800,4,0.01,133200
2021,Electronic,Samsung Mobile,1월,264000,5,0.03,128400
2021,Home & Furniture,Dinning Tables,1월,142800,3,0.04,29640
2021,Fashion,Fossil Watch,1월,190800,4,0.04,64320
2021,Auto & Accessories,Car Body Covers,1월,140400,4,0.01,38760
2021,Fashion,Sports Wear,1월,102000,1,0.03,3000
2021,Auto & Accessories,Car Media Players,1월,168000,1,0.03,66960
2021,Fashion,Formal Shoes,1월,255600,1,0.03,151920
2021,Fashion,Sneakers,1월,74400,5,0.05,14880
2021,Fashion,Sneakers,1월,74400,5,0.01,14880
2021,Home & Furniture,Umbrellas,1월,84000,4,0.04,21000
2021,Fashion,Running Shoes,1월,268800,2,0.03,156720
2021,Auto & Accessories,Car & Bike Care,1월,141600,5,0.03,24360
2021,Fashion,T - Shirts,1월,297600,2,0.04,177840
2021,Fashion,Fossil Watch,1월,190800,1,0.03,89040
2021,Fashion,Suits,1월,130800,2,0.04,24360
2021,Fashion,Sports Wear,1월,102000,4,0.04,25560
2021,Auto & Accessories,Car & Bike Care,1월,141600,3,0.02,37080
2021,Home & Furniture,Beds,1월,93600,2,0.04,46800
2021,Fashion,Fossil Watch,1월,190800,2,0.04,79560
2021,Fashion,Titak watch,1월,273600,2,0.04,155760
2021,Auto & Accessories,Car Mat,1월,64800,3,0.04,21600
2021,Auto & Accessories,Car Seat Covers,1월,136800,2,0.05,27120
2021,Fashion,Jeans,1월,261600,5,0.03,126360
2021,Fashion,Sneakers,1월,74400,5,0.05,14880
2021,Auto & Accessories,Tyre,1월,300000,5,0.02,174000
2021,Home & Furniture,Sofa Covers,1월,259200,1,0.04,152880
2021,Home & Furniture,Umbrellas,1월,84000,4,0.05,21000
2021,Fashion,Running Shoes,1월,268800,5,0.05,105600
2021,Fashion,Sports Wear,1월,102000,3,0.05,33960
2021,Home & Furniture,Dinner Crockery,1월,159600,3,0.03,49200
2021,Fashion,Shirts,1월,235200,1,0.02,134520
2021,Fashion,Formal Shoes,1월,255600,4,0.05,108480
2021,Fashion,Running Shoes,1월,268800,1,0.04,162000
2021,Fashion,Jeans,1월,261600,4,0.01,155160
2021,Fashion,Jeans,1월,261600,1,0.02,160320
2021,Fashion,T - Shirts,1월,297600,1,0.02,195600
2021,Fashion,Sports Wear,1월,102000,2,0.04,51000
2021,Auto & Accessories,Car Pillow & Neck Rest,1월,277200,3,0.05,139680
2021,Home & Furniture,Dinning Tables,1월,142800,2,0.02,41040
2021,Fashion,Suits,1월,130800,4,0.05,8640
2021,Fashion,Suits,1월,130800,3,0.04,19080
2021,Fashion,Running Shoes,1월,268800,5,0.03,132480
2021,Fashion,Shirts,1월,235200,2,0.02,129840
2021,Fashion,Sports Wear,1월,102000,4,0.05,25560
2021,Fashion,Fossil Watch,1월,190800,2,0.01,90960
2021,Fashion,Sneakers,1월,74400,3,0.01,24840
2021,Home & Furniture,Beds,1월,93600,1,0.03,93600
2021,Fashion,Jeans,1월,261600,2,0.05,139440
2021,Electronic,Mixer/Juicer,1월,99600,3,0.05,33240
2021,Fashion,Fossil Watch,1월,190800,5,0.03,66240
2021,Home & Furniture,Sofa Covers,1월,259200,2,0.02,152880
2021,Electronic,Samsung Mobile,1월,264000,5,0.02,141600
2021,Electronic,Samsung Mobile,1월,264000,1,0.02,162720
2021,Home & Furniture,Sofa Covers,1월,259200,5,0.03,124320
2021,Electronic,Tablet,1월,238800,4,0.02,123720
2021,Home & Furniture,Dinner Crockery,1월,159600,4,0.05,31680
2021,Fashion,Fossil Watch,1월,190800,5,0.02,75720
2021,Fashion,Sneakers,1월,74400,5,0.05,14880
2021,Fashion,Running Shoes,1월,268800,2,0.05,145920
2021,Electronic,Watch,1월,124800,3,0.05,10080
2021,Electronic,Speakers,1월,156000,1,0.01,58440
2021,Fashion,Sneakers,1월,74400,5,0.01,14880
2021,Fashion,Titak watch,1월,273600,5,0.04,122880
2021,Fashion,Jeans,1월,261600,2,0.04,144720
2021,Fashion,Fossil Watch,1월,190800,1,0.04,87120
2021,Electronic,Mixer/Juicer,1월,99600,5,0.01,19920
2021,Home & Furniture,Umbrellas,1월,84000,3,0.04,27960
2021,Fashion,Sports Wear,1월,102000,3,0.05,33960
2021,Fashion,T - Shirts,1월,297600,3,0.02,183720
2021,Fashion,Suits,1월,130800,1,0.02,32160
2021,Fashion,Sneakers,1월,74400,4,0.03,18600
2021,Auto & Accessories,Car Media Players,1월,168000,1,0.03,66960
2021,Auto & Accessories,Tyre,1월,300000,2,0.05,174000
2021,Fashion,Sneakers,1월,74400,2,0.01,37200
2021,Auto & Accessories,Tyre,1월,300000,1,0.03,195000
2021,Electronic,Fans,1월,178800,3,0.01,77400
2021,Home & Furniture,Bed Sheets,1월,253200,3,0.03,134400
2021,Fashion,Titak watch,1월,273600,2,0.01,172080
2021,Fashion,T - Shirts,1월,297600,5,0.01,186720
2021,Fashion,Formal Shoes,1월,255600,5,0.05,95760
2021,Fashion,Jeans,1월,261600,2,0.02,155160
2021,Fashion,Shirts,1월,235200,4,0.02,120360
2021,Home & Furniture,Shoe Rack,1월,148800,2,0.03,43920
2021,Fashion,Suits,1월,130800,1,0.03,30840
2021,Fashion,Shirts,1월,235200,2,0.01,134520
2021,Fashion,Fossil Watch,1월,190800,4,0.02,79560
2021,Fashion,Jeans,1월,261600,1,0.02,160320
2021,Auto & Accessories,Tyre,1월,300000,3,0.05,159000
2021,Fashion,Jeans,1월,261600,1,0.02,160320
2021,Fashion,Casula Shoes,1월,146400,5,0.03,28440
2021,Fashion,Formal Shoes,1월,255600,2,0.01,154440
2021,Home & Furniture,Sofas,1월,80400,3,0.01,26760
2021,Fashion,Casula Shoes,1월,146400,1,0.03,45960
2021,Auto & Accessories,Tyre,1월,300000,1,0.04,192000
2021,Fashion,Running Shoes,1월,268800,5,0.04,119040
2021,Fashion,Sports Wear,1월,102000,4,0.04,25560
2021,Fashion,T - Shirts,1월,297600,1,0.05,186720
2021,Fashion,Sports Wear,1월,102000,3,0.04,33960
2021,Auto & Accessories,Car Speakers,1월,253200,4,0.02,136920
2021,Home & Furniture,Shoe Rack,1월,148800,1,0.04,46800
2021,Auto & Accessories,Car Pillow & Neck Rest,1월,277200,1,0.02,175680
2021,Home & Furniture,Dinner Crockery,1월,159600,3,0.01,58800
2021,Auto & Accessories,Car Pillow & Neck Rest,1월,277200,5,0.01,167400
2021,Fashion,Titak watch,1월,273600,1,0.05,163920
2021,Fashion,Titak watch,1월,273600,1,0.05,163920
2021,Fashion,Titak watch,1월,273600,2,0.03,161160
2021,Fashion,Casula Shoes,1월,146400,2,0.02,44520
2021,Fashion,Running Shoes,1월,268800,2,0.03,156720
2021,Fashion,Sneakers,1월,74400,4,0.05,18600
2021,Auto & Accessories,Bike Tyres,1월,86400,1,0.03,86400
2021,Fashion,Titak watch,1월,273600,3,0.05,136560
2021,Home & Furniture,Sofa Covers,1월,259200,5,0.01,150240
2021,Fashion,Sports Wear,1월,102000,1,0.04,1920
2021,Fashion,T - Shirts,1월,297600,4,0.02,177840
2021,Auto & Accessories,Car Media Players,1월,168000,5,0.04,38400
2021,Fashion,T - Shirts,1월,297600,5,0.01,186720
2021,Fashion,Formal Shoes,1월,255600,5,0.04,108480
2021,Auto & Accessories,Car Pillow & Neck Rest,1월,277200,2,0.02,170160
2021,Auto & Accessories,Bike Tyres,1월,86400,5,0.02,17280
2021,Fashion,Sneakers,1월,74400,2,0.04,37200
2021,Fashion,Formal Shoes,1월,255600,1,0.04,149400
2021,Fashion,Sports Wear,1월,102000,5,0.04,20400
2021,Fashion,T - Shirts,1월,297600,2,0.01,195600
2021,Auto & Accessories,Car Body Covers,1월,140400,1,0.02,41640
2021,Home & Furniture,Beds,1월,93600,2,0.04,46800
2021,Fashion,Suits,1월,130800,2,0.04,24360
2021,Auto & Accessories,Car Pillow & Neck Rest,1월,277200,2,0.04,159000
2021,Home & Furniture,Towels,1월,273600,5,0.02,150240
2021,Fashion,Sports Wear,1월,102000,2,0.04,51000
2021,Auto & Accessories,Car Body Covers,1월,140400,4,0.03,27600
2021,Fashion,Shirts,1월,235200,5,0.04,92160
2021,Fashion,Formal Shoes,1월,255600,2,0.04,139200
2021,Auto & Accessories,Car & Bike Care,1월,141600,3,0.02,37080
2021,Home & Furniture,Curtains,1월,40800,5,0.01,8160
2021,Fashion,Running Shoes,1월,268800,3,0.05,132480
2021,Fashion,Suits,1월,130800,3,0.05,15240
2021,Fashion,Fossil Watch,1월,190800,3,0.03,77640
2021,Fashion,Sneakers,1월,74400,1,0.05,74400
2021,Auto & Accessories,Car Media Players,1월,168000,3,0.01,66960
2021,Home & Furniture,Shoe Rack,1월,148800,1,0.05,45360
2021,Fashion,Sports Wear,1월,102000,4,0.02,25560
2021,Fashion,Running Shoes,1월,268800,2,0.03,156720
2021,Auto & Accessories,Car & Bike Care,1월,141600,1,0.03,41400
2021,Fashion,Titak watch,1월,273600,3,0.01,169440
2021,Fashion,Shirts,1월,235200,2,0.04,120360
2021,Fashion,Running Shoes,1월,268800,2,0.03,156720
2021,Fashion,Sneakers,1월,74400,1,0.03,74400
2021,Home & Furniture,Dinner Crockery,1월,159600,1,0.02,60360
2021,Fashion,Shirts,1월,235200,3,0.04,111000
2021,Fashion,Fossil Watch,1월,190800,2,0.04,79560
2021,Fashion,Shirts,1월,235200,5,0.02,115680
2021,Auto & Accessories,Car Media Players,1월,168000,4,0.03,51840
2021,Auto & Accessories,Car Seat Covers,1월,136800,2,0.03,32640
2021,Auto & Accessories,Bike Tyres,1월,86400,1,0.04,86400
2021,Fashion,Suits,1월,130800,5,0.01,28320
2021,Fashion,Sports Wear,1월,102000,1,0.05,960
2021,Fashion,Fossil Watch,1월,190800,4,0.04,64320
2021,Fashion,Sneakers,1월,74400,5,0.01,14880
2021,Auto & Accessories,Car & Bike Care,1월,141600,3,0.05,24360
2021,Fashion,Sneakers,1월,74400,4,0.02,18600
2021,Fashion,Titak watch,1월,273600,2,0.02,166680
2021,Fashion,Casula Shoes,1월,146400,2,0.04,38640
2021,Home & Furniture,Dinning Tables,1월,142800,2,0.05,32520
2021,Fashion,Suits,1월,130800,4,0.01,29520
2021,Fashion,Sneakers,1월,74400,4,0.03,18600
2021,Fashion,Titak watch,1월,273600,5,0.05,109200
2021,Auto & Accessories,Car Media Players,1월,168000,3,0.05,46800
2021,Fashion,Suits,1월,130800,4,0.01,29520
2021,Fashion,Titak watch,1월,273600,4,0.05,122880
2021,Auto & Accessories,Car & Bike Care,1월,141600,4,0.05,17280
2021,Fashion,Jeans,1월,261600,2,0.04,144720
2021,Fashion,Fossil Watch,1월,190800,4,0.04,64320
2021,Auto & Accessories,Car Speakers,1월,253200,4,0.04,116640
2021,Fashion,Shirts,1월,235200,5,0.05,80400
2021,Fashion,Running Shoes,1월,268800,1,0.04,162000
2021,Fashion,Titak watch,1월,273600,2,0.03,161160
2021,Auto & Accessories,Car Speakers,1월,253200,4,0.01,147120
2021,Fashion,Running Shoes,1월,268800,4,0.03,140520
2021,Fashion,Jeans,1월,261600,5,0.05,100200
2021,Auto & Accessories,Car & Bike Care,1월,141600,4,0.03,28560
2021,Fashion,Formal Shoes,1월,255600,2,0.04,139200
2021,Auto & Accessories,Bike Tyres,1월,86400,2,0.02,43200
2021,Fashion,Sports Wear,1월,102000,2,0.03,51000
2021,Fashion,Formal Shoes,1월,255600,2,0.03,144240
2021,Auto & Accessories,Car Media Players,1월,168000,3,0.04,51840
2021,Fashion,Running Shoes,1월,268800,2,0.04,151320
2021,Fashion,Casula Shoes,1월,146400,2,0.02,44520
2021,Fashion,Running Shoes,1월,268800,1,0.01,170160
2021,Auto & Accessories,Car Mat,1월,64800,4,0.05,16200
2021,Home & Furniture,Umbrellas,1월,84000,1,0.01,84000
2021,Fashion,Sneakers,1월,74400,5,0.05,14880
2021,Fashion,Fossil Watch,1월,190800,4,0.02,79560
2021,Fashion,Casula Shoes,1월,146400,1,0.03,45960
2021,Auto & Accessories,Car Body Covers,1월,140400,5,0.05,9360
2021,Fashion,Sneakers,1월,74400,5,0.03,14880
2021,Fashion,T - Shirts,1월,297600,4,0.01,189720
2021,Fashion,Shirts,1월,235200,4,0.04,101520
2021,Home & Furniture,Dinner Crockery,1월,159600,4,0.02,50880
2021,Auto & Accessories,Car Pillow & Neck Rest,1월,277200,4,0.05,125760
2021,Home & Furniture,Shoe Rack,1월,148800,4,0.04,29040
2021,Fashion,T - Shirts,1월,297600,1,0.03,192720
2021,Fashion,Formal Shoes,1월,255600,2,0.02,149400
2021,Fashion,Running Shoes,1월,268800,4,0.03,140520
2021,Fashion,Shirts,1월,235200,3,0.02,125040
2021,Fashion,Titak watch,1월,273600,5,0.04,122880
2021,Fashion,Fossil Watch,1월,190800,4,0.01,87120
2021,Fashion,Formal Shoes,1월,255600,4,0.04,118680
